query,groundtruth,prediction,context_list
What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child,"Cleveland's opponents in 1884 criticized his alleged involvement in a scandal regarding an illegitimate child, which was used to counter his innocent image during the presidential campaign.","[""Cleveland was defeated in the 1888 presidential election, in part due to fraud (See Blocks of Five). He actually led in the popular vote over Benjamin Harrison (48.6% to 47.8%), but Harrison won the Electoral College by a 233-168 margin, largely by squeaking out a barely-over-1% win in Cleveland's home state of New York; in fact, had Cleveland won his home state, he would have won the electoral vote by a count of 204-197 (201 votes then needed for victory). Note, though, that Cleveland earned 24 of his electoral votes in states that he won by less than 1% (Connecticut, Virginia, and West Virginia)."", ""Some of Cleveland's actions were controversial with political factions. Such criticisms include but are not limited to: his intervention in the Pullman Strike of 1894 in order to keep the railroads moving (a move which angered labor unions), his support of the gold standard, and opposition to free silver which alienated the agrarian wing of the Democrats.  Furthermore, critics complained that he had little imagination and seemed overwhelmed by the nation's economic disasters   depressions and strikes   in his second term. He lost control of his party to the agrarians and silverites in 1896.""]"
Does otter give birth or lay egg?,give birth,Otters give birth.,"['Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. For example Eurasian otters must eat 15% of their body-weight a day, and sea otters, 20 to 25%, depending on the temperature. In water as warm as 10Â°C an otter needs to catch 100 g of fish per hour to survive.  Most species hunt for 3 to 5 hours a day, and nursing mothers up to 8 hours a day.', 'Otters are very active, chasing prey in the water or searching the beds of rivers, lakes or the sea.  Most species live beside water, entering it mainly to hunt or travel, otherwise spending much of their time on land to avoid their fur becoming waterlogged.  The sea otter lives actually in the sea.']"
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,The Imperial Japanese Army took six days to win the Battle of Singapore.,"['During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore. The ill-prepared British were defeated in six days, and surrendered the supposedly impregnable ""Bastion of the Empire"" to General Tomoyuki Yamashita on 15 February 1942 in what is now known as the British Empire\'s greatest military defeat. The Japanese renamed Singapore  , from Japanese  , or ""southern island obtained in the age of ShÅ\x8dwa"", and occupied it until the British repossessed the island on September 12 1945, a month after the Japanese surrender.', 'The British East India Company established a trading post on the island in 1819. The main settlement up to that point was a Malay fishing village at the mouth of the Singapore River. Several hundred indigenous Orang Laut people also lived around the coast, rivers and smaller islands. The British used Singapore as a strategic trading post along the spice route.    It became one of the most important commercial and military centres of the British Empire. Winston Churchill called it ""Britain\'s greatest defeat"" when it was occupied by the Japanese during World War II.    Singapore reverted to British rule in 1945. In 1963, it merged with Malaya, Sabah and Sarawak to form Malaysia. Less than two years later it split from the federation and became an independent republic on 9 August 1965. Singapore was admitted to the United Nations on September 21 that same year.']"
"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes","Adams's personal collection of more than 3,500 volumes in eight languages, many of which are extensively annotated by Adams.","[""* The  John Adams Library, housed at the Boston Public Library, contains Adams's personal collection of more than 3,500 volumes in eight languages, many of which are extensively annotated by Adams."", '* Ryerson, Richard Alan, ed. John Adams and the Founding of the Republic (2001). Essays by scholars:  ""John Adams and the Massachusetts Provincial Elite,"" by William Pencak; ""Before Fame: Young John Adams and Thomas Jefferson,"" by John Ferling; ""John Adams and the \'Bolder Plan,\'"" by Gregg L. Lint; ""In the Shadow of Washington: John Adams as Vice President,"" by Jack D. Warren; ""The Presidential Election of 1796,"" by Joanne B. Freeman; ""The Disenchantment of a Radical Whig: John Adams Reckons with Free Speech,"" by Richard D. Brown; ""\'Splendid Misery\': Abigail Adams as First Lady,"" by Edith B. Gelles; ""John Adams and the Science of Politics,"" by C. Bradley Thompson; and ""Presidents as Historians: John Adams and Thomas Jefferson,"" by Herbert Sloan.']"
Who is the most popular rock group in Finland?,CMX,The most popular rock group in Finland is The Rasmus.,"['Modern Finnish popular music includes a renowned heavy metal scene, in common with other Nordic countries, as well as a number of prominent rock bands, jazz musicians, hip hop performers, and dance music acts such as Bomfunk MCs and Darude. Finnish electronic music such as the SÃ¤hkÃ¶ Recordings record label enjoys underground acclaim. IskelmÃ¤ (coined directly from the German word Schlager, meaning hit) is a traditional Finnish word for a light popular song. Finnish popular music also includes various kinds of dance music; tango, a style of Argentinean music, is also popular. One of the most productive composers of popular music was Toivo KÃ¤rki, and the most famous singer Olavi Virta (1915â\x80\x931972). Among the lyricists, Sauvo Puhtila (born 1928), Reino Helismaa (died 1965) and Veikko ""Vexi"" Salmi are the most remarkable authors. The composer and bandleader Jimi Tenor is well known for his brand of retro-funk music.', 'One of the most influential musical contribution to international rock music is the band Hanoi Rocks, led by guitarist Antti Hulkko, aka Andy McCoy. Another rock band to enjoy commercial success is The Rasmus. After eleven years together and several domestic releases, the band finally captured Europe (and other places, like South America). Their 2003 album Dead Letters sold 1.5 million units worldwide and garnered them eight gold and five platinum album designations. The single ""In the Shadows"" placed on Top 10 charts in eleven countries and was the most played video on MTV Europe for 2005. Most recently, the Finnish hard rock/heavy metal band Lordi won the 2006 Eurovision Song Contest with a record 292 points, giving Finland its first ever victory. So far the most successful Finnish band in the United States is HIM; they were the first band from Finland to ever sell an album that was certified gold by the RIAA.']"
Was Wilson president of the American Political Science Association in 1910 ?,Yes,Yes.,"['* Wilson was president of the American Political Science Association in 1910.', 'Thomas Woodrow Wilson (December 28, 1856â\x80\x93February 3, 1924), was the twenty-eighth President of the United States. A devout Presbyterian and leading ""intellectual"" of the Progressive Era, he served as president of Princeton University then became the reform governor of New Jersey in 1910. With Theodore Roosevelt and William Howard Taft dividing the Republican vote, Wilson was elected President as a Democrat in 1912. He proved highly successful in leading a Democratic Congress to pass major legislation including the Federal Trade Commission, the Clayton Antitrust Act, the Underwood Tariff, the Federal Farm Loan Act and most notably the Federal Reserve System.']"
When did the first verifiable written documents appear?,Twelfth Century,The first verifiable written documents appeared in the twelfth century.,"['The first verifiable written documents appeared in the twelfth century.', 'The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war.']"
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,"Yes, a single female may lay from several dozen to several thousand eggs during her lifetime.","['A single female may lay from several dozen to several thousand eggs during her lifetime. Eggs are usually laid according to the substrate the larva will feed on upon hatching. Among others, they can be laid loose in the substrate (e.g. flour beetle), laid in clumps on leaves (e.g. Colorado potato beetle), or individually attached (e.g. mungbean beetle and other seed borers) or buried in the medium (e.g. carrot weevil).', 'Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.']"
Can turtles take many years to reach breeding age ?,yes,"Yes, turtles can take many years to reach breeding age.","['Turtles can take many years to reach breeding age. Often turtles only breed every few years or more.', 'Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.']"
Did Grover Cleveland win the 1884 election?,yes,Grover Cleveland won the 1884 presidential election.,"[""Cleveland was defeated in the 1888 presidential election, in part due to fraud (See Blocks of Five). He actually led in the popular vote over Benjamin Harrison (48.6% to 47.8%), but Harrison won the Electoral College by a 233-168 margin, largely by squeaking out a barely-over-1% win in Cleveland's home state of New York; in fact, had Cleveland won his home state, he would have won the electoral vote by a count of 204-197 (201 votes then needed for victory). Note, though, that Cleveland earned 24 of his electoral votes in states that he won by less than 1% (Connecticut, Virginia, and West Virginia)."", 'In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.']"
Did the U.S. join the League of Nations?,no,The United States did not join the League of Nations.,"[""Coolidge's official White House portraitWhile he was not an isolationist, Coolidge was reluctant to enter foreign alliances. Sobel, 342  Coolidge saw the landslide Republican victory of 1920 as a rejection of the Wilsonian idea that the United States should join the League of Nations. McCoy, 184â\x80\x93185  While not completely opposed to the idea, Coolidge believed the League, as then constituted, did not serve American interests, and he did not advocate membership in it.  He spoke in favor of the United States joining the Permanent Court of International Justice, provided that the nation would not be bound by advisory decisions. McCoy, 360  The Senate eventually approved joining the Court (with reservations) in 1926. McCoy, 363  The League of Nations accepted the reservations, but suggested some modifications of their own. Greenberg, 114â\x80\x93116  The Senate failed to act; the United States never joined the World Court."", ""For his peacemaking efforts, Wilson was awarded the 1919 Nobel Peace Prize. However, Wilson failed to win Senate support for ratification and the United States never joined the League. Republicans under Henry Cabot Lodge controlled the Senate after the 1918 elections, but Wilson refused to give them a voice at Paris and refused to agree to Lodge's proposed changes.  The key point of disagreement was whether the League would diminish the power of Congress to declare war. Historians generally have come to regard Wilson's failure to win U.S. entry into the League as perhaps the biggest mistake of his administration, and even as one of the largest failures of any American presidency.  /ref>""]"
"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes,"Cartier used the word 'Canada' to refer not only to that village, but the entire area subject to Donnacona, Chief at Stadacona.","['The name Canada comes from a St. Lawrence Iroquoian word meaning ""village"" or ""settlement.""  In 1535, inhabitants of the present-day Quebec City region used the word to direct explorer Jacques Cartier toward the village of Stadacona.    Cartier used the word \'Canada\' to refer to not only that village, but the entire area subject to Donnacona, Chief at Stadacona. By 1545, European books and maps began referring to this region as Canada.', 'The French colony of Canada referred to the part of New France along the Saint Lawrence River and the northern shores of the Great Lakes. Later, it was split into two British colonies, called Upper Canada and Lower Canada until their union as the British Province of Canada in 1841. Upon Confederation in 1867, the name Canada was adopted for the entire country, and it was frequently referred to as the Dominion of Canada until the 1950s. As Canada asserted its political autonomy from Britain, the federal government increasingly used Canada on legal state documents and treaties. The Canada Act 1982 refers only to ""Canada"" and, as such, it is currently the only legal (and bilingual) name. This was reflected in 1982 with the renaming of the national holiday from Dominion Day to Canada Day.']"
What is the life expectancy for men in Finland?,75 years,75 years,"[""The Finnish Defence Forces is a cadre army of 16,500, of which 8,700 are professional soldiers (officers), with a standard readiness strength of 34,700 people in uniform (27,300 Army, 3,000 Navy, and 4,400 Air Force). Finland's defence budget equals about 1.4 percent of the GDP. A universal male conscription is in place, under which all men above 18 years of age serve for six, nine or twelve months. Inhabitants of Finland's Ã\x85land Islands and Jehovah's Witnesses are exempt, but there are no other general exemptions. Non-military service for thirteen months is also possible. Since 1995, Finnish women have been able to do military service as volunteers. The defence is based on a large trained reserve. During the Cold War, Finland could have mobilised 490,000 reservists in a conflict, but this number has since been reduced to some 350,000 due to ongoing budget cuts."", 'The life expectancy is 82 years for women and 75 years for men.']"
"Who boasted a sizeable community of 100,000 by 1869?",British India office,"In 1881, Budapest, Hungary boasted a sizeable community of 100,000 by 1869.","['For several months, Lincoln ran a small store in New Salem, selling tea, coffee, sugar, salt, blue calico, brown muslin, straw hats and whiskey.  Beveridge (1928) 1:127-8  Later, he found work as village postmaster and as a surveyor.', ""In 1881, he moved to Budapest, Hungary, to work under Tivadar PuskÃ¡s in a telegraph company, James Grant Wilson, John Fiske, Appleton's CyclopÃ¦dia of American Biography. Page 261.""]"
